Estacao,Componente,Tipo Onda,Hora,Min,Seg,Data,Distancia,Tipo Ev,Lat,Long,Prof,Estacoes,Magnitudes,ID,Sentido,Regiao,Onda,Amplitude
PBOI,EZ,P,3,32,36.87,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EZ,,3,32,37.72,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EN,,3,32,37.73,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCND,EZ,P,3,32,37.04,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCND,EN,,3,32,38.28,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCND,EZ,IAML,3,32,38.42,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],5553.0
PTEI,EZ,P,3,32,37.21,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTEI,EN,,3,32,38.82,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTEI,EZ,IAML,3,32,40.06,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],6089.0
PLGR,EZ,P,3,32,40.8,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PLGR,EN,S,3,32,43.64,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCTB,EZ,P,3,32,41.7,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCTB,EN,S,3,32,46.87,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PCTB,EZ,IAML,3,32,48.56,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],793.0
PAMA,EZ,P,3,32,42.17,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PAMA,EN,S,3,32,46.74,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PAMA,EZ,IAML,3,32,48.13,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],1860.0
PCUT,EE,,3,32,48.9,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
ROSA,BZ,P   9,3,32,41.3,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
ROSA,BN,S,3,32,46.33,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PTCA,EN,,3,32,48.36,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PLUZ,EN,,3,32,55.18,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
STGR,EZ,,3,32,48.34,2014-01-05T03:32:36.300000,Local,Quake,38.433,-28.403,0.0,11,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}]",20140105033236,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EZ,P,3,33,5.1,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
PBOI,EN,,3,33,5.94,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
